grid_id,grid_row,grid_col,lon_center,lat_center,p_s2_mean,p_s2_median,p_s2_std,p_s2_valid_ratio,p_viirs_mean,p_viirs_median,p_viirs_std,p_viirs_valid_ratio,viirs_loss_rate_mean,viirs_loss_rate_median,p_fused,fusion_source,disagreement,uncertainty,evidence_type,p_s2_low_quality,p_viirs_low_quality,p_s2_clipped,u_s2,m_s2_D,m_s2_N,m_s2_U,p_viirs_clipped,u_viirs,m_viirs_D,m_viirs_N,m_viirs_U,conflict_k,belief_damage,belief_no_damage,uncertainty_ds,plausibility_damage,plausibility_no_damage,ds_damage_mid,ds_interval_width,conflict_class,ds_decision_class,ds_source
0,0,0,37.416853447538564,47.048321100464385,,,,0.0,,,,0.0,,,,no_data,,0.3,no_data,True,True,,,,,,,,,,,,,,,,,,,no_data,insufficient_evidence,no_data
1,0,1,37.42343361843932,47.04841189473224,0.8269568085670471,0.8272327184677124,0.020872190594673157,0.1536,,,,0.0,,,0.8269568085670471,s2_only,,0.27696,single_source,True,True,0.8269568085670471,0.5024747937297821,0.4114318567588812,0.08609334951133668,0.5024747937297821,,,,,,0.0,0.4114318567588812,0.08609334951133668,0.5024747937297821,0.9139066504886633,0.5885681432411187,0.6626692536237723,0.5024747937297821,low_conflict,possible_damage,s2_only
2,0,2,37.43001382131257,47.048502311063594,0.8263745903968811,0.829754650592804,0.0258932001888752,0.16,,,,0.0,,,0.8263745903968811,s2_only,,0.276,single_source,True,True,0.8263745903968811,0.5032621334592501,0.4104915509972328,0.08624631554351711,0.5032621334592501,,,,,,0.0,0.4104915509972328,0.08624631554351711,0.5032621334592501,0.9137536844564829,0.5895084490027672,0.6621226177268578,0.5032621334592501,low_conflict,possible_damage,s2_only
3,0,3,37.43659405602514,47.0485923494538,0.7736804485321045,0.8300551176071167,0.11799533665180206,0.1856,,,,0.0,,,0.7736804485321045,s2_only,,0.27216,single_source,True,True,0.7736804485321045,0.5544235577678681,0.34473378168149515,0.10084266055063675,0.5544235577678681,,,,,,0.0,0.34473378168149515,0.10084266055063675,0.5544235577678681,0.8991573394493633,0.6552662183185048,0.6219455605654292,0.5544235577678681,low_conflict,possible_damage,s2_only
4,0,4,37.443174322443866,47.04868200989819,0.5424152612686157,0.5400926470756531,0.059409454464912415,0.2,,,,0.0,,,0.5424152612686157,s2_only,,0.27,single_source,False,True,0.5424152612686157,0.5096063029766084,0.26599702529542535,0.2243966717279663,0.5096063029766084,,,,,,0.0,0.26599702529542535,0.2243966717279663,0.5096063029766084,0.7756033282720337,0.7340029747045747,0.5208001767837296,0.5096063029766084,low_conflict,possible_damage,s2_only
5,0,5,37.44975462043556,47.048771292392125,0.293681263923645,0.0,0.3180790841579437,0.2176,,,,0.0,,,0.293681263923645,s2_only,,0.26736,single_source,False,True,0.293681263923645,0.66296,0.09898233319282532,0.2380576668071747,0.66296,,,,,,0.0,0.09898233319282532,0.2380576668071747,0.66296,0.7619423331928253,0.9010176668071747,0.43046233319282534,0.66296,low_conflict,possible_damage,s2_only
6,0,6,37.45633494986704,47.04886019693101,0.0005068571772426367,0.0,0.003969951067119837,0.24,,,,0.0,,,0.0005068571772426367,s2_only,,0.264,single_source,False,True,0.001,0.4566466340447466,0.0005433533659552534,0.5428100125892982,0.4566466340447466,,,,,,0.0,0.0005433533659552534,0.5428100125892982,0.4566466340447466,0.4571899874107018,0.9994566466340448,0.22886667038832856,0.4566466340447466,low_conflict,insufficient_evidence,s2_only
7,0,7,37.46291531060512,47.04894872351026,0.006466411519795656,0.0,0.021461479365825653,0.2496,,,,0.0,,,0.006466411519795656,s2_only,,0.26256,single_source,False,True,0.0064664115197956,0.4644676529105504,0.003462972538442392,0.5320693745510071,0.4644676529105504,,,,,,0.0,0.003462972538442392,0.5320693745510071,0.4644676529105504,0.46793062544899283,0.9965370274615575,0.2356967989937176,0.4644676529105504,low_conflict,insufficient_evidence,s2_only
8,0,8,37.469495702516596,47.04903687212528,0.0050994521006941795,0.0,0.013917364180088043,0.28,,,,0.0,,,0.0050994521006941795,s2_only,,0.258,single_source,False,True,0.0050994521006941,0.4472782427867253,0.002818578125920568,0.5499031790873542,0.4472782427867253,,,,,,0.0,0.002818578125920568,0.5499031790873542,0.4472782427867253,0.45009682091264586,0.9971814218740795,0.2264576995192832,0.4472782427867253,low_conflict,insufficient_evidence,s2_only
9,0,9,37.47607612546829,47.049124642771545,0.01840626634657383,0.0,0.056833647191524506,0.2832,,,,0.0,,,0.01840626634657383,s2_only,,0.25752,single_source,False,True,0.0184062663465738,0.474609098127683,0.009670484875928486,0.5157204169963886,0.474609098127683,,,,,,0.0,0.009670484875928486,0.5157204169963886,0.474609098127683,0.48427958300361146,0.9903295151240716,0.24697503393976997,0.474609098127683,low_conflict,insufficient_evidence,s2_only
