grid_id,grid_row,grid_col,lon_center,lat_center,p_s2_mean,p_s2_median,p_s2_std,p_s2_valid_ratio,p_viirs_mean,p_viirs_median,p_viirs_std,p_viirs_valid_ratio,viirs_loss_rate_mean,viirs_loss_rate_median,p_fused,fusion_source,disagreement,uncertainty,evidence_type,p_s2_low_quality,p_viirs_low_quality
0,0,0,37.416853447538564,47.048321100464385,,,,0.0,,,,0.0,,,,no_data,,0.3,no_data,True,True
1,0,1,37.42343361843932,47.04841189473224,0.8269568085670471,0.8272327184677124,0.020872190594673157,0.1536,,,,0.0,,,0.8269568085670471,s2_only,,0.27696,single_source,True,True
2,0,2,37.43001382131257,47.048502311063594,0.8263745903968811,0.829754650592804,0.0258932001888752,0.16,,,,0.0,,,0.8263745903968811,s2_only,,0.27599999999999997,single_source,True,True
3,0,3,37.43659405602514,47.0485923494538,0.7736804485321045,0.8300551176071167,0.11799533665180206,0.1856,,,,0.0,,,0.7736804485321045,s2_only,,0.27216,single_source,True,True
4,0,4,37.443174322443866,47.04868200989819,0.5424152612686157,0.5400926470756531,0.059409454464912415,0.2,,,,0.0,,,0.5424152612686157,s2_only,,0.27,single_source,False,True
5,0,5,37.44975462043556,47.048771292392125,0.293681263923645,0.0,0.3180790841579437,0.2176,,,,0.0,,,0.293681263923645,s2_only,,0.26736,single_source,False,True
6,0,6,37.45633494986704,47.04886019693101,0.0005068571772426367,0.0,0.003969951067119837,0.24,,,,0.0,,,0.0005068571772426367,s2_only,,0.264,single_source,False,True
7,0,7,37.46291531060512,47.04894872351026,0.006466411519795656,0.0,0.021461479365825653,0.2496,,,,0.0,,,0.006466411519795656,s2_only,,0.26255999999999996,single_source,False,True
8,0,8,37.469495702516596,47.04903687212528,0.0050994521006941795,0.0,0.013917364180088043,0.28,,,,0.0,,,0.0050994521006941795,s2_only,,0.258,single_source,False,True
9,0,9,37.47607612546829,47.049124642771545,0.01840626634657383,0.0,0.056833647191524506,0.2832,,,,0.0,,,0.01840626634657383,s2_only,,0.25752,single_source,False,True
10,0,10,37.48265657932699,47.04921203544451,0.00978819839656353,0.0,0.023153215646743774,0.32,,,,0.0,,,0.00978819839656353,s2_only,,0.252,single_source,False,True
