grid_id,grid_row,grid_col,lon_center,lat_center,p_s2_mean,p_s2_median,p_s2_std,p_s2_valid_ratio,p_viirs_mean,p_viirs_median,p_viirs_std,p_viirs_valid_ratio,viirs_loss_rate_mean,viirs_loss_rate_median,p_fused,fusion_source,disagreement,uncertainty,evidence_type,p_s2_low_quality,p_viirs_low_quality,p_weighted_best,weighted_best_s2_version,weighted_best_w_viirs
0,0,0,37.41685344753856,47.04832110046439,,,,0.0,,,,0.0,,,,no_data,,0.3,no_data,True,True,0.0009999999999999996,s2_original,0.9500000000000001
1,0,1,37.42343361843932,47.04841189473224,0.8269568085670471,0.8272327184677124,0.0208721905946731,0.1536,,,,0.0,,,0.8269568085670471,s2_only,,0.27696,single_source,True,True,0.0015265664581373508,s2_original,0.9500000000000001
2,0,2,37.43001382131257,47.0485023110636,0.8263745903968811,0.829754650592804,0.0258932001888752,0.16,,,,0.0,,,0.8263745903968811,s2_only,,0.2759999999999999,single_source,True,True,0.0015262568232277361,s2_original,0.9500000000000001
3,0,3,37.43659405602514,47.0485923494538,0.7736804485321045,0.8300551176071167,0.117995336651802,0.1856,,,,0.0,,,0.7736804485321045,s2_only,,0.27216,single_source,True,True,0.001501247475916283,s2_original,0.9500000000000001
4,0,4,37.443174322443866,47.04868200989819,0.5424152612686157,0.5400926470756531,0.0594094544649124,0.2,,,,0.0,,,0.5424152612686157,s2_only,,0.27,single_source,False,True,0.0014239244961587194,s2_original,0.9500000000000001
5,0,5,37.44975462043556,47.048771292392125,0.293681263923645,0.0,0.3180790841579437,0.2176,,,,0.0,,,0.293681263923645,s2_only,,0.26736,single_source,False,True,0.0013513544596098718,s2_original,0.9500000000000001
6,0,6,37.45633494986704,47.04886019693101,0.0005068571772426,0.0,0.0039699510671198,0.24,,,,0.0,,,0.0005068571772426,s2_only,,0.264,single_source,False,True,0.0009999999999999996,s2_original,0.9500000000000001
7,0,7,37.46291531060512,47.04894872351026,0.0064664115197956,0.0,0.0214614793658256,0.2496,,,,0.0,,,0.0064664115197956,s2_only,,0.2625599999999999,single_source,False,True,0.0010980186078210742,s2_original,0.9500000000000001
8,0,8,37.4694957025166,47.04903687212528,0.0050994521006941,0.0,0.013917364180088,0.28,,,,0.0,,,0.0050994521006941,s2_only,,0.258,single_source,False,True,0.001084996942926049,s2_original,0.9500000000000001
9,0,9,37.47607612546829,47.049124642771545,0.0184062663465738,0.0,0.0568336471915245,0.2832,,,,0.0,,,0.0184062663465738,s2_only,,0.25752,single_source,False,True,0.0011576078109827967,s2_original,0.9500000000000001
10,0,10,37.48265657932699,47.04921203544451,0.0097881983965635,0.0,0.0231532156467437,0.32,,,,0.0,,,0.0097881983965635,s2_only,,0.252,single_source,False,True,0.0011211773747120495,s2_original,0.9500000000000001
11,0,11,37.48923706395949,47.04929905013965,0.0074533615261316,0.0,0.0207473952323198,0.32,,,,0.0,,,0.0074533615261316,s2_only,,0.252,single_source,False,True,0.001105890943010754,s2_original,0.9500000000000001
12,0,12,37.4958175792326,47.0493856868525,0.0051159020513296,0.0,0.0145530141890048,0.2912,,,,0.0,,,0.0051159020513296,s2_only,,0.25632,single_source,False,True,0.001085172382509322,s2_original,0.9500000000000001
13,0,13,37.50239812501309,47.04947194557856,,,,0.0,,,,0.0,,,,no_data,,0.3,no_data,True,True,0.0009999999999999996,s2_original,0.9500000000000001
14,0,14,37.50897870116776,47.04955782631339,,,,0.0,,,,0.0,,,,no_data,,0.3,no_data,True,True,0.0009999999999999996,s2_original,0.9500000000000001
15,0,15,37.51555930756338,47.04964332905254,,,,0.0,,,,0.0,,,,no_data,,0.3,no_data,True,True,0.0009999999999999996,s2_original,0.9500000000000001
16,0,16,37.52213994406672,47.049728453791616,,,,0.0,,,,0.0,,,,no_data,,0.3,no_data,True,True,0.0009999999999999996,s2_original,0.9500000000000001
17,0,17,37.528720610544575,47.04981320052621,,,,0.0,,,,0.0,,,,no_data,,0.3,no_data,True,True,0.0009999999999999996,s2_original,0.9500000000000001
18,0,18,37.535301306863694,47.04989756925195,,,,0.0,,,,0.0,,,,no_data,,0.3,no_data,True,True,0.0009999999999999996,s2_original,0.9500000000000001
19,0,19,37.54188203289085,47.04998155996447,,,,0.0,0.6450545191764832,0.6450545191764832,0.0,0.5,0.8391839861869812,0.8391839861869812,0.6450545191764832,viirs_only,,0.2249999999999999,single_source,True,False,0.5553137682165064,s2_original,0.9500000000000001
20,0,20,37.54846278849281,47.050065172659416,,,,0.0,0.5422585010528564,0.5422585010528564,0.0,0.5,0.69588702917099,0.69588702917099,0.5422585010528564,viirs_only,,0.2249999999999999,single_source,True,False,0.45403726787723286,s2_original,0.9500000000000001
21,0,21,37.55504357353632,47.050148407332514,,,,0.0,0.3825993239879608,0.3825993239879608,0.0,0.5,0.4702108502388,0.4702108502388,0.3825993239879608,viirs_only,,0.2249999999999999,single_source,True,False,0.31003810546508914,s2_original,0.9500000000000001
22,0,22,37.56162438788815,47.05023126397945,,,,0.0,0.2538676559925079,0.2538676559925079,0.0,0.5,0.2714385092258453,0.2714385092258453,0.2538676559925079,viirs_only,,0.2249999999999999,single_source,True,False,0.2026969010159565,s2_original,0.9500000000000001
23,0,23,37.56820523141504,47.05031374259592,,,,0.0,0.317108690738678,0.317108690738678,0.0,0.5,0.3771663904190063,0.3771663904190063,0.317108690738678,viirs_only,,0.2249999999999999,single_source,True,False,0.25462903658998504,s2_original,0.9500000000000001
24,0,24,37.57478610398372,47.05039584317768,,,,0.0,0.3342889547348022,0.3342889547348022,0.0,0.5,0.4039742946624756,0.4039742946624756,0.3342889547348022,viirs_only,,0.2249999999999999,single_source,True,False,0.26899152131893744,s2_original,0.9500000000000001
25,0,25,37.58136700546096,47.050477565720506,,,,0.0,0.2721401453018188,0.2721401453018188,0.0,0.5,0.3039840459823608,0.3039840459823608,0.2721401453018188,viirs_only,,0.2249999999999999,single_source,True,False,0.21756051875376786,s2_original,0.9500000000000001
26,0,26,37.58794793571349,47.05055891022016,,,,0.0,0.1688288897275924,0.1688288897275924,0.0,0.5,0.0699848011136055,0.0699848011136055,0.1688288897275924,viirs_only,,0.2249999999999999,single_source,True,False,0.1347508237070628,s2_original,0.9500000000000001
27,0,27,37.59452889460805,47.05063987667244,,,,0.0,0.2099487334489822,0.2099487334489822,0.0,0.5,0.1854432821273803,0.1854432821273803,0.2099487334489822,viirs_only,,0.2249999999999999,single_source,True,False,0.16738002787173578,s2_original,0.9500000000000001
28,0,28,37.60110988201135,47.05072046507316,,,,0.0,0.1156546249985694,0.1156546249985694,0.0,0.5,-0.076427049934864,-0.076427049934864,0.1156546249985694,viirs_only,,0.2249999999999999,single_source,True,False,0.09297283244739465,s2_original,0.9500000000000001
29,0,29,37.60769089779014,47.050800675418174,,,,0.0,0.1659384220838546,0.1659384220838546,0.0,0.5,0.0573443286120891,0.0573443286120891,0.1659384220838546,viirs_only,,0.2249999999999999,single_source,True,False,0.13247002381046669,s2_original,0.9500000000000001
30,0,30,37.61427194181114,47.05088050770333,,,,0.0,0.2420712262392044,0.2420712262392044,0.0,0.5,0.2471480518579483,0.2471480518579483,0.2420712262392044,viirs_only,,0.2249999999999999,single_source,True,False,0.19315676535306311,s2_original,0.9500000000000001
31,0,31,37.620853013941066,47.050959961924505,,,,0.0,0.3435685932636261,0.3435685932636261,0.0,0.5,0.3955820500850677,0.3955820500850677,0.3435685932636261,viirs_only,,0.2249999999999999,single_source,True,False,0.27679859744464524,s2_original,0.9500000000000001
32,0,32,37.62743411404664,47.05103903807758,,,,0.0,,,,0.0,,,,no_data,,0.3,no_data,True,True,0.0009999999999999996,s2_original,0.9500000000000001
33,0,33,37.63401524199457,47.05111773615851,,,,0.0,,,,0.0,,,,no_data,,0.3,no_data,True,True,0.0009999999999999996,s2_original,0.9500000000000001
34,0,34,37.64059639765157,47.0511960561632,,,,0.0,0.1494274884462356,0.1494274884462356,0.0,0.5,0.0396926067769527,0.0396926067769527,0.1494274884462356,viirs_only,,0.2249999999999999,single_source,True,False,0.1194676298623088,s2_original,0.9500000000000001
35,0,35,37.64717758088435,47.05127399808761,,,,0.0,0.219068706035614,0.219068706035614,0.0,0.5,0.2071405947208404,0.2071405947208404,0.219068706035614,viirs_only,,0.2249999999999999,single_source,True,False,0.1746700589701292,s2_original,0.9500000000000001
36,0,36,37.6537587915596,47.05135156192771,,,,0.0,0.186393454670906,0.186393454670906,0.0,0.5,0.1362928003072738,0.1362928003072738,0.186393454670906,viirs_only,,0.2249999999999999,single_source,True,False,0.14864427852277928,s2_original,0.9500000000000001
37,0,37,37.66034002954403,47.05142874767951,,,,0.0,0.2740653157234192,0.2740653157234192,0.0,0.5,0.2900539636611938,0.2900539636611938,0.2740653157234192,viirs_only,,0.2249999999999999,single_source,True,False,0.21913288744057952,s2_original,0.9500000000000001
38,0,38,37.666921294704345,47.05150555533901,,,,0.0,0.4283473789691925,0.4283473789691925,0.0,0.5,0.5397893190383911,0.5397893190383911,0.4283473789691925,viirs_only,,0.2249999999999999,single_source,True,False,0.34989406475495394,s2_original,0.9500000000000001
39,0,39,37.67350258690721,47.05158198490225,,,,0.0,0.3841742575168609,0.3841742575168609,0.0,0.5,0.4727858603000641,0.4727858603000641,0.3841742575168609,viirs_only,,0.2249999999999999,single_source,True,False,0.3113935992009687,s2_original,0.9500000000000001
40,0,40,37.68008390601934,47.05165803636527,,,,0.0,0.2432317584753036,0.2432317584753036,0.0,0.5,0.2130267471075058,0.2130267471075058,0.2432317584753036,viirs_only,,0.2249999999999999,single_source,True,False,0.19409346576403855,s2_original,0.9500000000000001
41,0,41,37.68666525190741,47.05173370972415,,,,0.0,0.0685563534498214,0.0685563534498214,0.0,0.5,-0.2522258162498474,-0.2522258162498474,0.0685563534498214,viirs_only,,0.2249999999999999,single_source,True,False,0.056042894029123484,s2_original,0.9500000000000001
42,0,42,37.693246624438096,47.05180900497498,,,,0.0,0.1232215091586113,0.1232215091586113,0.0,0.5,-0.0620626732707023,-0.0620626732707023,0.1232215091586113,viirs_only,,0.2249999999999999,single_source,True,False,0.09890107285896209,s2_original,0.9500000000000001
43,0,43,37.69982802347809,47.05188392211388,,,,0.0,0.2316718697547912,0.2316718697547912,0.0,0.5,0.2322449833154678,0.2322449833154678,0.2316718697547912,viirs_only,,0.2249999999999999,single_source,True,False,0.1847806346954663,s2_original,0.9500000000000001
44,0,44,37.706409448894064,47.05195846113698,,,,0.0,0.2543157637119293,0.2543157637119293,0.0,0.5,0.2737486660480499,0.2737486660480499,0.2543157637119293,viirs_only,,0.2249999999999999,single_source,True,False,0.20306013851275834,s2_original,0.9500000000000001
45,0,45,37.71299090055268,47.05203262204039,,,,0.0,0.2226362973451614,0.2226362973451614,0.0,0.5,0.2146003097295761,0.2146003097295761,0.2226362973451614,viirs_only,,0.2249999999999999,single_source,True,False,0.17752770204795826,s2_original,0.9500000000000001
46,0,46,37.71957237832061,47.052106404820336,,,,0.0,0.2139093726873397,0.2139093726873397,0.0,1.0,0.1979531645774841,0.1979531645774841,0.2139093726873397,viirs_only,,0.15,single_source,True,False,0.17054333876180486,s2_original,0.9500000000000001
47,1,0,37.41672032035879,47.05281872241011,,,,0.0,,,,0.0,,,,no_data,,0.3,no_data,True,True,0.0009999999999999996,s2_original,0.9500000000000001
48,1,1,37.42330104402777,47.05290953087456,0.5136668682098389,0.7030657529830933,0.3507068157196045,1.0,0.1365377753973007,0.1365377753973007,0.0,0.25,-0.0257861632853746,-0.0257861632853746,0.2901132948472918,both,0.3771290928125381,0.3764903649687767,s2_high_viirs_low,False,False,0.14812322790083218,s2_original,0.9500000000000001
49,1,2,37.42988179967893,47.052999961343474,0.5440720915794373,0.6281194090843201,0.2605982422828674,1.0,0.1577666848897934,0.1577666848897934,0.0,0.25,0.0137266563251614,0.0137266563251614,0.3210182280024778,both,0.3863054066896438,0.3829137846827506,s2_high_viirs_low,False,False,0.170462149352729,s2_original,0.9500000000000001
50,1,3,37.43646258717906,47.05309001381217,0.6470307111740112,0.7031577229499817,0.2028216123580932,1.0,0.2909845411777496,0.2909845411777496,0.0,0.25,0.3029430210590362,0.3029430210590362,0.4644855959698926,both,0.3560461699962616,0.3617323189973831,s2_high_viirs_low,False,False,0.30666099182451856,s2_original,0.9500000000000001
51,1,4,37.443043406394935,47.05317968827601,0.2017677128314972,0.0892525538802146,0.2514061033725738,0.9424,0.3973330855369568,0.3973330855369568,0.0,0.25,0.4855647087097168,0.4855647087097168,0.2898863382035268,both,0.1955653727054596,0.2580357608938217,both_low,False,False,0.3859130681564383,s2_original,0.9500000000000001
