path,filename,extension,size_mb,parent_folder,detected_sensor,detected_product_type,detected_date,detected_tile,detected_role,notes
papers\1911.09296v1.pdf,1911.09296v1.pdf,.pdf,7.7058,papers,N/A,reference_paper,unknown,unknown,unknown,
papers\2503.03901v1.pdf,2503.03901v1.pdf,.pdf,1.4919,papers,N/A,reference_paper,unknown,unknown,unknown,
papers\ja_iitf_2018_Roman.pdf,ja_iitf_2018_Roman.pdf,.pdf,7.1749,papers,N/A,reference_paper,unknown,unknown,unknown,
papers\Night-time light loss during the 2022 Kyiv offensive revealed through VIIRS DNB.pdf,Night-time light loss during the 2022 Kyiv offensive revealed through VIIRS DNB.pdf,.pdf,7.6424,papers,VIIRS,NTL_H5,unknown,unknown,unknown,VIIRS Nighttime Lights / Black Marble HDF5
papers\pgaf367.pdf,pgaf367.pdf,.pdf,1.555,papers,N/A,reference_paper,unknown,unknown,unknown,
papers\remotesensing-14-06239.pdf,remotesensing-14-06239.pdf,.pdf,25.7197,papers,N/A,reference_paper,unknown,unknown,unknown,
papers\remotesensing-15-04257-v2.pdf,remotesensing-15-04257-v2.pdf,.pdf,11.2496,papers,N/A,reference_paper,unknown,unknown,unknown,
papers\S2介绍.txt,S2介绍.txt,.txt,0.0317,papers,N/A,reference_paper,unknown,unknown,unknown,
papers\s43247-025-02183-7.pdf,s43247-025-02183-7.pdf,.pdf,2.2933,papers,N/A,reference_paper,unknown,unknown,unknown,
papers\UNOSAT_Mariupol_LivoberezhnyiDistrict_DamageAssessment_12May2022.pdf,UNOSAT_Mariupol_LivoberezhnyiDistrict_DamageAssessment_12May2022.pdf,.pdf,1.84,papers,N/A,reference_paper,unknown,unknown,unknown,
papers\夜光描述.txt,夜光描述.txt,.txt,0.0087,papers,VIIRS,NTL_H5,unknown,unknown,unknown,VIIRS Nighttime Lights / Black Marble HDF5
原始数据\Sentinel-1 GRD\S1A_IW_GRDH_1SDV_20210601T033952_20210601T034017_038141_048069_5417.SAFE\manifest.safe,manifest.safe,.safe,0.0206,原始数据\Sentinel-1 GRD\S1A_IW_GRDH_1SDV_20210601T033952_20210601T034017_038141_048069_5417.SAFE,Sentinel-1,GRD_support,unknown,unknown,unknown,
原始数据\Sentinel-1 GRD\S1A_IW_GRDH_1SDV_20210601T033952_20210601T034017_038141_048069_5417.SAFE\S1A_IW_GRDH_1SDV_20210601T033952_20210601T034017_038141_048069_5417.SAFE-report-20210601T054516.pdf,S1A_IW_GRDH_1SDV_20210601T033952_20210601T034017_038141_048069_5417.SAFE-report-20210601T054516.pdf,.pdf,0.0143,原始数据\Sentinel-1 GRD\S1A_IW_GRDH_1SDV_20210601T033952_20210601T034017_038141_048069_5417.SAFE,Sentinel-1,GRD_backscatter,20210601,unknown,s1_grd_pre_20210601,GRDH 后向散射幅度产品，非 InSAR 干涉相位
原始数据\Sentinel-1 GRD\S1A_IW_GRDH_1SDV_20210601T033952_20210601T034017_038141_048069_5417.SAFE\annotation\s1a-iw-grd-vh-20210601t033952-20210601t034017-038141-048069-002.xml,s1a-iw-grd-vh-20210601t033952-20210601t034017-038141-048069-002.xml,.xml,1.6265,原始数据\Sentinel-1 GRD\S1A_IW_GRDH_1SDV_20210601T033952_20210601T034017_038141_048069_5417.SAFE\annotation,Sentinel-1,GRD_annotation_xml,unknown,unknown,unknown,
原始数据\Sentinel-1 GRD\S1A_IW_GRDH_1SDV_20210601T033952_20210601T034017_038141_048069_5417.SAFE\annotation\s1a-iw-grd-vv-20210601t033952-20210601t034017-038141-048069-001.xml,s1a-iw-grd-vv-20210601t033952-20210601t034017-038141-048069-001.xml,.xml,1.6266,原始数据\Sentinel-1 GRD\S1A_IW_GRDH_1SDV_20210601T033952_20210601T034017_038141_048069_5417.SAFE\annotation,Sentinel-1,GRD_annotation_xml,unknown,unknown,unknown,
