metric,value
n_total,1380
n_both,1053
n_s2_only,78
n_viirs_only,215
n_no_data,34
p_s2_mean,0.10272977994467039
p_s2_median,0.032331377267837524
p_s2_std,0.15407638309036076
p_viirs_mean,0.5101534772652557
p_viirs_median,0.5542105734348297
p_viirs_std,0.1968958880085197
p_fused_mean,0.22766481205456396
p_fused_median,0.19887824821028527
p_fused_std,0.14543407672520345
disagreement_mean,0.47015804351533996
disagreement_median,0.5474953576922417
uncertainty_mean,0.40589394216735253
uncertainty_median,0.39287390122190113
spearman_r,-0.4216173249153264
spearman_p,1.246435433989844e-46
