metric,value
ntl_pre_mean,5.482657
ntl_pre_median,2.181529
ntl_pre_std,8.314722
ntl_pre_p10,0.682373
ntl_pre_p90,13.206075
ntl_post_mean,0.602564
ntl_post_median,0.598217
ntl_post_std,0.202229
ntl_post_p10,0.358146
ntl_post_p90,0.8536
ntl_loss_mean,4.880094
ntl_loss_median,1.59169
ntl_loss_std,8.297079
ntl_loss_p10,0.114574
ntl_loss_p90,12.594296
ntl_loss_rate_mean,0.637226
ntl_loss_rate_median,0.742032
ntl_loss_rate_std,0.337478
ntl_loss_rate_p10,0.164219
ntl_loss_rate_p90,0.958245
p_viirs_mean,0.512522
p_viirs_median,0.577021
p_viirs_std,0.207214
p_viirs_p10,0.197564
p_viirs_p90,0.721362
valid_pixel_count,2119
total_pixel_count,2232
valid_pixel_ratio,0.949373
