field_name,dtype,n_unique,n_null,null_pct,values_detail
SensorDate,datetime64[ms],1,0,0.0,{Timestamp('2022-03-26 00:00:00'): 3459}
SensorID,int64,1,0,0.0,{1: 3459}
Confidence,int32,1,0,0.0,{2: 3459}
Main_Damag,int32,2,0,0.0,"{6: 2903, 14: 556}"
SensorDa_1,datetime64[ms],1,0,0.0,{Timestamp('2022-04-03 00:00:00'): 3459}
SensorID_2,int64,1,0,0.0,{5: 3459}
Confiden_1,int32,1,0,0.0,{2: 3459}
Main_Dam_1,int32,2,0,0.0,"{6: 2692, 14: 767}"
FieldValid,int32,1,0,0.0,{0: 3459}
Notes,str,2,3454,99.9,"{'Burned area': 4, 'дeти (children) written on the ground, but no nearby damage': 1}"
Settlement,object,0,3459,100.0,{}
Neighborho,object,0,3459,100.0,{}
EventCode,str,1,0,0.0,{'CE20220223UKR': 3459}
Analyst,int64,1,0,0.0,{45: 3459}
Grouped_Da,int32,1,0,0.0,{1: 3459}
Shape_Leng,float64,1,0,0.0,{2000.0: 3459}
Shape_Area,float64,1,0,0.0,{250000.0: 3459}
